fishing_zone,start_date,end_date,management_action,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6
1,2023-10-27,2023-11-16,Closed,,,H,H,,
1,2023-11-17,2023-12-06,Delay,H,,H,H,,
1,2023-12-07,2024-01-04,Delay,,,,H,,
1,2024-01-05,2024-01-14,Fleet_Advisory,,,H,H,,
1,2024-01-15,2024-04-07,Fleet_Advisory,,,,,,
1,2024-04-08,2024-07-17,"Fleet_Advisory, 30_fathom_depth",,,H,H,,
2,2023-10-27,2023-11-16,Closed,,,H,H,,
2,2023-11-17,2023-12-06,Delay,H,,H,H,,
2,2023-12-07,2024-01-04,Delay,,,,H,,
2,2024-01-05,2024-01-14,Fleet_Advisory,,,H,H,,
2,2024-01-15,2024-04-07,Fleet_Advisory,,,,,,
2,2024-02-15,2024-07-17,"Fleet_Advisory, 30_fathom_depth",,,H,H,,
3,2023-10-27,2023-11-16,Delay,,,H,H,,
3,2023-11-17,2023-12-06,Delay,H,,H,H,,
3,2023-12-07,2024-01-04,Delay,,,,H,,
3,2024-01-05,2024-01-14,Delay,,,H,H,,
3,2024-01-15,2024-04-07,"Fleet_Advisory, Reduction_50",,,,,,
3,2024-02-15,2024-07-17,Closed,,,H,H,,
4,2023-10-27,2023-11-16,Delay,,,H,H,,
4,2023-11-17,2023-12-06,Delay,H,,H,H,,
4,2023-12-07,2024-01-04,Delay,,,,H,,
4,2024-01-05,2024-01-14,Delay,,,H,H,,
4,2024-01-15,2024-04-07,"Fleet_Advisory, Reduction_50",,,,,,
4,2024-02-15,2024-07-17,Closed,,,H,H,,
5,2023-10-27,2023-11-16,Delay,,,H,H,,
5,2023-11-17,2023-12-06,Delay,H,,H,H,,
5,2023-12-07,2024-01-04,Delay,,,,H,,
5,2024-01-05,2024-01-14,Delay,,,H,H,,
5,2024-01-15,2024-04-07,"Fleet_Advisory, Reduction_50",,,,,,
5,2024-02-15,2024-07-17,Closed,,,H,H,,
6,2023-10-27,2023-11-16,Delay,,,H,H,,
6,2023-11-17,2023-12-06,Delay,H,,H,H,,
6,2023-12-07,2024-01-04,Delay,,,,H,,
6,2024-01-05,2024-01-14,Delay,,,H,H,,
6,2024-01-15,2024-04-07,"Fleet_Advisory, Reduction_50",,,,,,
6,2024-02-15,2024-07-17,Closed,,,H,H,,
1,2022-12-31,2023-01-14,Fleet_Advisory,C,C,,,,
2,2022-12-31,2023-01-14,Fleet_Advisory,C,C,,,,
3,2022-12-31,2023-01-14,"Fleet_Advisory, Reduction_50",,,H,H,,
4,2022-12-31,2023-01-14,"Fleet_Advisory, Reduction_50",,,H,H,,
5,2022-12-31,2023-01-14,"Fleet_Advisory, Reduction_50",,,H,H,,
6,2022-12-31,2023-01-14,"Fleet_Advisory, Reduction_50",,,H,H,,
1,2023-01-15,2023-05-14,Fleet_Advisory,,,H,,,
2,2023-01-15,2023-05-14,Fleet_Advisory,,,H,,,
3,2023-01-15,2023-04-14,Fleet_Advisory,,,H,,,
4,2023-01-15,2023-04-14,Fleet_Advisory,,,H,,,
5,2023-01-15,2023-04-14,Fleet_Advisory,,,H,,,
6,2023-01-15,2023-04-14,Fleet_Advisory,,,H,,,
1,2023-05-15,2023-07-14,"Fleet_Advisory, 30_fathom_depth",H,H,,,,
2,2023-05-15,2023-07-14,"Fleet_Advisory, 30_fathom_depth",H,H,,,,
3,2023-04-15,2023-10-26,Closed,,,,,,
4,2023-04-15,2023-10-26,Closed,,,,,,
5,2023-04-15,2023-10-26,Closed,,,,,,
6,2023-04-15,2023-10-26,Closed,,,,,,
1,2023-07-15,2023-10-26,Closed,,,,,,
2,2023-07-15,2023-10-26,Closed,,,,,,
1,2021-11-15,2021-11-30,Closed,,,,,,
2,2021-11-15,2021-11-30,Closed,,,,,,
3,2021-11-15,2021-12-21,Delay,,,"H, L","H, L",,
4,2021-11-15,2021-12-15,Delay,,,"H, L","H, L",,
5,2021-11-15,2022-01-17,Fleet_Advisory,,,,,,
6,2021-11-15,2022-01-17,Fleet_Advisory,,,,,,
1,2021-12-01,2022-01-17,Fleet_Advisory,,,,,,
2,2021-12-01,2022-01-17,Fleet_Advisory,,,,,,
3,2021-12-22,2022-01-17,Fleet_Advisory,,,,,,
4,2021-12-16,2021-12-20,"Fleet_Advisory, 40_fathom_depth",,,,H,,
4,2021-12-19,2022-01-17,Fleet_Advisory,,,,,,
1,2022-01-18,2022-02-16,Open,,,,,,
2,2022-01-18,2022-02-16,Open,,,,,,
3,2022-01-18,2022-02-16,Open,,,,,,
4,2022-01-18,2022-02-16,Open,,,,,,
5,2022-01-18,2022-02-16,Open,,,,,,
6,2022-01-18,2022-02-16,Open,,,,,,
1,2022-02-17,2022-04-20,Fleet_Advisory,,,,H,,
2,2022-02-17,2022-04-20,Fleet_Advisory,,,,H,,
3,2022-02-17,2022-04-08,Fleet_Advisory,,,,H,,
4,2022-02-17,2022-04-08,Fleet_Advisory,,,,H,,
5,2022-02-17,2022-04-08,Fleet_Advisory,,,,H,,
6,2022-02-17,2022-04-08,Fleet_Advisory,,,,H,,
1,2022-04-21,2022-12-31,Closed,,,H,,,
2,2022-04-21,2022-12-31,Closed,,,H,,,
3,2022-04-09,2022-12-31,Closed,,,H,H,,
4,2022-04-09,2022-12-31,Closed,,,H,H,,
5,2022-04-09,2022-12-31,Closed,,,H,H,,
6,2022-04-09,2022-12-31,Closed,,,H,H,,
1,2020-11-04,2020-12-22,Delay,,,,,,
2,2020-11-04,2020-12-22,Delay,,,,,,
3,2020-11-04,2020-12-22,Delay,,,H,"H, B",,
4,2020-11-04,2020-12-22,Delay,,,H,"H, B",,
5,2020-11-04,2020-12-22,Delay,,,H,"H, B",,
6,2020-11-04,2020-12-22,Delay,,,H,"H, B",,
1,2020-12-23,2021-01-15,Fleet_Advisory,,,,"H, B",,
2,2020-12-23,2021-01-15,Fleet_Advisory,,,,"H, B",,
3,2020-12-23,2021-01-15,Fleet_Advisory,,,,"H, B",,
4,2020-12-23,2021-01-15,Fleet_Advisory,,,,"H, B",,
5,2020-12-23,2021-01-15,Fleet_Advisory,,,,"H, B",,
6,2020-12-23,2021-01-15,Fleet_Advisory,,,,"H, B",,
1,2021-01-16,2021-03-17,Open,,,,,,
2,2021-01-16,2021-03-17,Open,,,,,,
3,2021-01-16,2021-03-17,Open,,,,,,
4,2021-01-16,2021-03-17,Open,,,,,,
5,2021-01-16,2021-03-17,Open,,,,,,
6,2021-01-16,2021-03-17,Open,,,,,,
1,2021-03-18,2021-05-09,Fleet_Advisory,,,,H,,
2,2021-03-18,2021-05-09,Fleet_Advisory,,,,H,,
3,2021-03-18,2021-05-31,Fleet_Advisory,,,,H,,
4,2021-03-18,2021-05-31,Fleet_Advisory,,,,H,,
5,2021-03-18,2021-05-31,Fleet_Advisory,,,,H,,
6,2021-03-18,2021-05-31,Fleet_Advisory,,,,H,,
1,2021-05-10,2021-05-31,"Fleet_Advisory, 30_fathom_depth",,,,,,
2,2021-05-10,2021-05-31,"Fleet_Advisory, 30_fathom_depth",,,,,,
1,2021-06-01,2021-12-01,Closed,H,,,H,,
2,2021-06-01,2021-12-01,Closed,H,,,H,,
3,2021-06-01,2021-12-22,Closed,H,,,H,,
4,2021-06-01,2021-12-16,Closed,H,,,H,,
5,2021-06-01,2021-11-15,Closed,H,,,H,,
6,2021-06-01,2021-11-15,Closed,H,,,H,,
1,2019-11-15,2019-12-30,Delay,C,C,,,,
2,2019-11-15,2019-12-30,Delay,C,C,,,,
3,2019-11-15,2019-12-14,Delay,,,"H, L",H,,
4,2019-11-15,2019-12-14,Delay,,,"H, L",H,,
5,2019-11-15,2019-12-14,Delay,,,"H, L",H,,
6,2019-11-15,2019-12-14,Delay,,,"H, L",H,,
1,2019-12-31,2020-07-15,Open,,,,,,
2,2019-12-31,2020-07-15,Open,,,,,,
3,2019-12-15,2020-05-15,Open,,,,,,
4,2019-12-15,2020-05-15,Open,,,,,,
5,2019-12-15,2020-05-15,Open,,,,,,
6,2019-12-15,2020-05-15,Open,,,,,,
1,2020-07-16,2020-12-23,Closed,,,,,,
2,2020-07-16,2020-12-23,Closed,,,,,,
3,2020-05-16,2020-12-23,Closed,,,H,H,,
4,2020-05-16,2020-12-23,Closed,,,H,H,,
5,2020-05-16,2020-12-23,Closed,,,H,H,,
6,2020-05-16,2020-12-23,Closed,,,H,H,,